link,title,writer
https://abc7news.com/sports/nhl-power-rankings-the-hidden-mvp-for-all-31-teams/5221962/,NHL Power Rankings: The hidden MVP for all 31 teams,greg
http://www.espn.com/nhl/insider/story/_/id/26333621/looking-ahead-anaheim-ducks-let-kids-play,Looking ahead for the Anaheim Ducks: Time to let the kids play,greg
http://www.espn.com/nhl/insider/story/_/id/26365929/looking-ahead-florida-panthers-go-big-free-agency,Looking ahead for the Florida Panthers: Time to go big in free agency,greg
https://abc30.com/sports/stanley-cup-madness-who-was-the-best-champ-of-the-past-16/5217860/,Stanley Cup Madness: Who was the best champ of the past 16?,greg
https://abc7.com/sports/stanley-cup-madness-who-was-the-best-champ-of-the-last-16/5217860/,Stanley Cup Madness: Who was the best champ of the last 16?,greg
http://www.espn.com/nhl/insider/story/_/id/26331280/looking-ahead-buffalo-sabres-decision-looms-jeff-skinner,Looking ahead for the Buffalo Sabres: Decision looms on Jeff Skinner,greg
https://abc11.com/sports/justin-faulks-long-journey-to-the-nhl-playoffs/5211527/,Justin Faulk's long journey to the NHL playoffs,greg
https://abc7chicago.com/sports/nhl-power-rankings-every-teams-college-hoops-equivalent/5209740/,NHL Power Rankings: Every team's college hoops equivalent,greg
https://abc7ny.com/sports/nhl-power-rankings-the-puck-luck-edition/5191701/,NHL Power Rankings: The puck luck edition,greg
https://6abc.com/sports/bettman-upholds-suspension-of-flyers-voracek/5189392/,Bettman upholds suspension of Flyers' Voracek,greg
http://www.espn.com/nhl/story/_/id/26227036/how-tampa-bay-lightning-defeated,How the Tampa Bay Lightning can be defeated,greg
http://www.espn.com/nhl/story/_/id/26198452/the-best-hair-minnesota-boys-high-school-hockey-tournament,The best hair at the Minnesota boys' high school hockey tournament,greg
http://www.espn.com/chalk/story/_/id/26143313/wagering-nhl-trends-pitfalls-best-bets-season,"Wagering on the NHL: Trends, pitfalls and best bets this season",greg
https://abc11.com/sports/nhl-power-rankings-reasons-for-optimism-for-all-31-teams/5173856/,NHL Power Rankings: Reasons for optimism for all 31 teams,greg
